onset	duration	Experiment - R6DVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
147,796	2	12AF_412312	36	Sie lacht Ÿber den Scherz	66	147796	keine	0	161	25	5	1,583333333	1,583333333	4,454545455	4,454545455	5	999	999	999	miss
150,83	2	12AF_412312	37	Sie ist nur noch Haut und Knochen	11	150830	keine	0	12	33	7	-2	2	3,625	5,545454546	4	4,077898397	5,666666667	7	miss
153,864	2	12AF_412312	38	#### ### ##### #### ####	77	153864	keine	0	231	24	5	9	9	9	9	9	9	9	9	miss
156,898	2	12AF_412312	39	### ######### #### ########### ### ### ######	77	156898	keine	0	260	45	7	9	9	9	9	9	9	9	9	miss
161,931	2	12AF_412312	40	Sie schert sich zum Teufel	11	161931	keine	0	5	26	5	-2,222222222	2,222222222	4,625	4,818181818	2,3	3,823033539	3,888888889	7	miss
169,971	2	12AF_412312	41	Verschwindet sie fŸr eine lange Zeit? 	88	169971	Nein	3013	919	37	6	9	9	9	9	9	9	9	9	incorrect
176,017	2	12AF_412312	42	Alles ist in Ordnung	66	176017	keine	0	155	20	4	1,25	1,25	3,727272727	5,454545455	1,916666667	999	999	999	miss
183,045	2	12AF_412312	43	### ####### #### ######## ## ###	77	183045	keine	0	266	32	6	9	9	9	9	9	9	9	9	miss
186,075	2	12AF_412312	44	Sie lŠsst die Seele baumeln	33	186075	keine	0	70	27	5	1,666666667	1,666666667	3,625	5,727272727	3,181818182	4,0092095	3,625	7	miss
190,109	2	12AF_412312	45	## ####### ## #########	77	190109	keine	0	218	23	4	9	9	9	9	9	9	9	9	miss
198,138	2	12AF_412312	46	Wurde dir soeben ein Satz prŠsentiert?	88	198138	Ja	2498	920	38	6	9	9	9	9	9	9	9	9	incorrect
203,183	2	12AF_412312	47	Sie holt fŸr ihn die Sterne vom Himmel	33	203183	keine	0	84	38	8	2,125	2,125	4,375	5,7	2,454545455	3,838892776	5,25	7	miss
208,217	2	12AF_412312	48	Er erinnert sich an die letzte Woche	55	208217	keine	0	141	36	7	0,272727273	0,272727273	3	4,636363636	2,090909091	999	999	999	miss
211,257	2	12AF_412312	49	Sie hat die Weisheit mit Lšffeln gefressen	22	211257	keine	0	36	42	7	-0,222222222	0,222222222	3,5	5,2	3,090909091	3,947541587	4,625	7	miss
216,29	2	12AF_412312	50	Ist sie sehr dumm?	88	216290	Nein	2334	921	18	4	9	9	9	9	9	9	9	9	correct
225,337	2	12AF_412312	51	## ### ##### ######	77	225337	keine	0	261	19	4	9	9	9	9	9	9	9	9	miss
228,366	2	12AF_412312	52	#### ###### ####### #########	77	228366	keine	0	251	29	4	9	9	9	9	9	9	9	9	miss
231,4	2	12AF_412312	53	Sie redet Klartext	22	231400	keine	0	58	18	3	0,444444444	0,444444444	4,25	6,1	4,818181818	4,1943856	5,666666667	7	miss
237,434	2	12AF_412312	54	#### ## ### ##### ######	77	237434	keine	0	232	24	5	9	9	9	9	9	9	9	9	miss
240,468	2	12AF_412312	55	## ##### ###### ###########	77	240468	keine	0	268	27	4	9	9	9	9	9	9	9	9	miss
245,501	2	12AF_412312	56	Sie machen heute ein Picknick am Strand	66	245501	keine	0	177	39	7	2,166666667	2,166666667	4,363636364	4,636363636	5,5	999	999	999	miss
250,542	2	12AF_412312	57	Sie bespricht die Angelegenheit mit ihren Kollegen	55	250542	keine	0	126	50	7	0	0	3,181818182	5,181818182	5,363636364	999	999	999	miss
255,581	2	12AF_412312	58	Das ist beruhigend	66	255581	keine	0	157	18	3	1,333333333	1,333333333	4,363636364	5,636363636	3,083333333	999	999	999	miss
259,621	2	12AF_412312	59	Sie ist ihr ein Dorn im Auge	11	259621	keine	0	17	28	7	-1,888888889	1,888888889	3,857142857	5,5	3	3,837884849	4,75	5,714285714	miss
264,65	2	12AF_412312	60	Freut sie sich Ÿber sie?	88	264650	Nein	2319	922	24	5	9	9	9	9	9	9	9	9	correct
273,696	2	12AF_412312	61	## #### #### ##### ### ### #####	77	273696	keine	0	248	32	7	9	9	9	9	9	9	9	9	miss
279,725	2	12AF_412312	62	Er kontrolliert gerade den Ablauf	55	279725	keine	0	123	33	5	-0,25	0,25	3,5	4,090909091	3,090909091	999	999	999	miss
285,759	2	12AF_412312	63	Mir ist es das wert	66	285759	keine	0	154	19	5	1,25	1,25	4,272727273	5,9	1,666666667	999	999	999	miss
288,794	2	12AF_412312	64	Sie ist stur wie ein Bock	11	288794	keine	0	22	25	6	-1,777777778	1,777777778	3,375	5,1	2,4	3,724225263	5,375	7	miss
292,826	2	12AF_412312	65	Er ist ein Waschlappen	11	292826	keine	0	21	22	4	-1,888888889	1,888888889	3,625	4,545454546	2,3	3,782453788	2,444444444	5,8	miss
298,856	2	12AF_412312	66	Sie Šrgert sich Ÿber ihren Vorgesetzten	44	298856	keine	0	109	39	6	-1,75	1,75	5	4	4,416666667	999	999	999	miss
304,891	2	12AF_412312	67	### #### #### #### ###### ######	77	304891	keine	0	254	32	6	9	9	9	9	9	9	9	9	miss
307,925	2	12AF_412312	68	## ### #### ###### ### ### ### ####### ########	77	307925	keine	0	216	47	9	9	9	9	9	9	9	9	9	miss
310,958	2	12AF_412312	69	Sie sŠuft wie ein Loch	11	310958	keine	0	24	22	5	-1,777777778	1,777777778	4	5	4	3,890047159	4,75	7	miss
315,992	2	12AF_412312	70	Trinkt sie viel?	88	315992	Ja	1173	923	16	3	9	9	9	9	9	9	9	9	correct
326,038	2	12AF_412312	71	Sie schwitzte Blut und Wasser	11	326038	keine	0	30	29	5	-1,111111111	1,111111111	4,142857143	4,8	4	4,314285714	4	5	miss
329,079	2	12AF_412312	72	Sie ist in der BlŸte ihrer Jahre	33	329079	keine	0	69	32	7	1,666666667	1,666666667	3,5	4,7	2,545454546	3,864187118	5,444444444	6,625	miss
335,112	2	12AF_412312	73	### ### #### ##### ####	77	335112	keine	0	196	23	5	9	9	9	9	9	9	9	9	miss
338,147	2	12AF_412312	74	Er nimmt es sich zu Herzen	22	338147	keine	0	34	26	6	-0,222222222	0,222222222	4,875	6,181818182	2,818181818	4,078186904	4,222222222	7	miss
342,18	2	12AF_412312	75	Er denkt jetzt daran	55	342180	keine	0	127	20	4	0	0	2,9	5,3	2,333333333	999	999	999	miss
347,209	2	12AF_412312	76	Er ist wie aus dem Ei gepellt	33	347209	keine	0	63	29	7	1,333333333	1,333333333	2,75	4,636363636	3,181818182	3,856886217	4,777777778	6,5	miss
351,249	2	12AF_412312	77	Sie hŠlt ihre Zunge im Zaum	22	351249	keine	0	48	27	6	0,111111111	0,111111111	2,75	4,7	3,454545455	3,802867848	5,125	6,25	miss
354,277	2	12AF_412312	78	Sie lag erschšpft im Bett	44	354277	keine	0	119	25	5	-0,833333333	0,833333333	4,636363636	5,454545455	5	999	999	999	miss
359,31	2	12AF_412312	79	#### ##### ##### ##### ####	77	359310	keine	0	237	27	5	9	9	9	9	9	9	9	9	miss
365,351	2	12AF_412312	80	## ##### #### ####	77	365351	keine	0	236	18	4	9	9	9	9	9	9	9	9	miss
368,385	2	12AF_412312	81	Sie haben sowohl Šhnliche wie auch unterschiedliche Ansichten	55	368385	keine	0	139	61	8	0,181818182	0,181818182	3,1	4	2,75	999	999	999	miss
374,419	2	12AF_412312	82	Sie hat einen Geistesblitz	33	374419	keine	0	74	26	4	1,777777778	1,777777778	3,875	5,7	3,454545455	3,908511154	3,875	6,8	miss
381,454	2	12AF_412312	83	Er betrachtet es genau	55	381454	keine	0	135	22	4	0,166666667	0,166666667	3,3	4,909090909	5,636363636	999	999	999	miss
385,483	2	12AF_412312	84	## ### ###### ######	77	385483	keine	0	208	20	4	9	9	9	9	9	9	9	9	miss
388,511	2	12AF_412312	85	Sie ist zŠh wie Leder	22	388511	keine	0	50	21	5	0,222222222	0,222222222	3,25	3,4	3,363636364	3,760535501	6,444444444	5,166666667	miss
391,545	2	12AF_412312	86	Sie ist im siebten Himmel	33	391545	keine	0	89	25	5	2,666666667	2,666666667	5,25	5,818181818	2	4,014157968	3,666666667	7	miss
396,579	2	12AF_412312	87	Ist sie sehr verliebt?	88	396579	Ja	1385	924	22	4	9	9	9	9	9	9	9	9	correct
402,624	2	12AF_412312	88	### ##### #### ##### ##### ## #####	77	402624	keine	0	210	35	7	9	9	9	9	9	9	9	9	miss
407,654	2	12AF_412312	89	##### ##### ## ####### #### ########## ### ########	77	407654	keine	0	230	51	8	9	9	9	9	9	9	9	9	miss
412,692	2	12AF_412312	90	## ##### ### ### ###### ### ######	77	412692	keine	0	225	34	7	9	9	9	9	9	9	9	9	miss
415,732	2	12AF_412312	91	Das war eine schwierige Entscheidung	44	415732	keine	0	120	36	5	-0,363636364	0,363636364	5	5,909090909	2,166666667	999	999	999	miss
423,766	2	12AF_412312	92	Sie ist sehr unaufrichtig	44	423766	keine	0	105	25	4	-1,916666667	1,916666667	4,909090909	2,909090909	2,5	999	999	999	miss
427,807	2	12AF_412312	93	Er grinst wie ein Honigkuchenpferd	33	427807	keine	0	73	34	5	1,666666667	1,666666667	3,875	4,545454546	4,545454546	4,048617879	3	7	miss
432,835	2	12AF_412312	94	Sie erzŠhlt was passiert ist	55	432835	keine	0	130	28	5	0	0	3	5,727272727	4,916666667	999	999	999	miss
437,875	2	12AF_412312	95	## ####### ##### #####	77	437875	keine	0	212	22	4	9	9	9	9	9	9	9	9	miss
440,915	2	12AF_412312	96	### ####### ##### #######	77	440915	keine	0	234	25	4	9	9	9	9	9	9	9	9	miss
443,949	2	12AF_412312	97	Er schwimmt im Geld	33	443949	keine	0	62	19	4	1,222222222	1,222222222	3	5,1	3,25	3,557714631	5,888888889	7	miss
449,982	2	12AF_412312	98	### #### ####### ##	77	449982	keine	0	241	19	4	9	9	9	9	9	9	9	9	miss
453,017	2	12AF_412312	99	Er hat im Lotto gewonnen	66	453017	keine	0	174	24	5	2	2	5,636363636	4,181818182	4,25	999	999	999	miss
459,05	2	12AF_412312	100	Sie holt sich den Tod	11	459050	keine	0	11	21	5	-2,111111111	2,111111111	4	5,545454546	2,545454546	3,908683056	5,142857143	7	miss
