onset	duration	Experiment - R6DVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,626	2	12AF_412312	1	Er mag keine Suppe	99	1626	keine	0	272	18	4	9	9	9	9	9	9	9	9	miss
4,66	2	12AF_412312	2	Er bekam sein Fett weg	99	4660	keine	0	275	22	5	9	9	9	9	9	9	9	9	miss
7,694	2	12AF_412312	3	Er schweigt wie ein Grab	22	7694	keine	0	47	24	5	0,111111111	0,111111111	3,75	5,454545455	4	4,004517337	5,888888889	6,5	miss
10,727	2	12AF_412312	4	Er ist Ÿber alle Berge	22	10727	keine	0	32	22	5	-0,222222222	0,222222222	3,25	5,636363636	2,272727273	3,915657047	3,875	7	miss
17,762	2	12AF_412312	5	##### ##### #### ###### ##### ######## ###### ####	77	17762	keine	0	187	50	8	9	9	9	9	9	9	9	9	miss
20,79	2	12AF_412312	6	## ##### ##### ##### ######	77	20790	keine	0	188	27	5	9	9	9	9	9	9	9	9	miss
24,825	2	12AF_412312	7	Wurden dir soeben kleine Kreise gezeigt?	88	24825	Nein	1946	917	40	6	9	9	9	9	9	9	9	9	correct
30,859	2	12AF_412312	8	Er dreht das Rad der Zeit zurŸck	22	30859	keine	0	44	32	7	0	0	3,625	4	1,909090909	3,570017449	5,111111111	7	miss
33,887	2	12AF_412312	9	Er leidet sehr unter die Kritik seines Chefs	44	33887	keine	0	100	44	8	-2,083333333	2,083333333	5,727272727	3,636363636	3,833333333	999	999	999	miss
38,921	2	12AF_412312	10	Es geht um tŠgliche Aufgaben	55	38921	keine	0	129	28	5	0	0	2,818181818	4,545454546	2,333333333	999	999	999	miss
41,961	2	12AF_412312	11	## ##### ###### ##### #####	77	41961	keine	0	270	28	5	9	9	9	9	9	9	9	9	miss
44,994	2	12AF_412312	12	Er ist dumm wie Brot	11	44994	keine	0	3	20	5	-2,222222222	2,222222222	4,25	6,1	1,818181818	3,81565291	4,222222222	7	miss
48,028	2	12AF_412312	13	#### #### ###### ##### ####	77	48028	keine	0	182	27	5	9	9	9	9	9	9	9	9	miss
54,062	2	12AF_412312	14	Es ist Jacke wie Hose	22	54062	keine	0	46	21	5	0,111111111	0,111111111	5,125	5,4	1,818181818	3,840995304	2,375	6,4	miss
57,097	2	12AF_412312	15	Sie macht einen Vorschlag	55	57097	keine	0	122	25	4	-0,25	0,25	3,090909091	5,181818182	3,909090909	999	999	999	miss
61,131	2	12AF_412312	16	Es hat sich nichts bei ihr verŠndert	55	61131	keine	0	121	36	7	-0,272727273	0,272727273	2,9	4,545454546	1,75	999	999	999	miss
64,159	2	12AF_412312	17	Er ist krank geworden	44	64159	keine	0	93	21	4	-2,583333333	2,583333333	4,272727273	4,909090909	4,166666667	999	999	999	miss
67,193	2	12AF_412312	18	Er hatte Schwierigkeiten damit	44	67193	keine	0	117	30	4	-1,166666667	1,166666667	4,727272727	5	1,916666667	999	999	999	miss
70,227	2	12AF_412312	19	Er schwebt auf Wolke sieben	33	70227	keine	0	90	27	5	2,777777778	2,777777778	5	5,2	2,636363636	3,963158968	4,25	7	miss
76,26	2	12AF_412312	20	Er ist daran verzweifelt	44	76260	keine	0	91	24	4	-2,666666667	2,666666667	5,545454546	5,636363636	1,916666667	999	999	999	miss
83,295	2	12AF_412312	21	Er spaziert durch die Sonne	66	83295	keine	0	153	27	5	1,166666667	1,166666667	3,909090909	4,727272727	5,333333333	999	999	999	miss
90,324	2	12AF_412312	22	Er wird den ganzen Tag in der Schule geŠrgert	44	90324	keine	0	92	45	9	-2,583333333	2,583333333	4,818181818	3,727272727	3,916666667	999	999	999	miss
94,353	2	12AF_412312	23	Sie steckt bis Ÿber die Ohren in Schulden	11	94353	keine	0	14	41	8	-2	2	4	4,6	2,454545455	3,812915363	6,125	7	miss
97,382	2	12AF_412312	24	### ### #### ### #####	77	97382	keine	0	214	22	5	9	9	9	9	9	9	9	9	miss
100,416	2	12AF_412312	25	Hast du soeben viele Rautezeichen gesehen?	88	100416	Ja	3259	918	42	6	9	9	9	9	9	9	9	9	correct
107,456	2	12AF_412312	26	Er leidet unter der Trennung seiner Eltern	44	107456	keine	0	99	42	7	-2,166666667	2,166666667	5,636363636	4,727272727	3,083333333	999	999	999	miss
110,495	2	12AF_412312	27	## ##### ## #### ### #####	77	110495	keine	0	228	26	6	9	9	9	9	9	9	9	9	miss
116,529	2	12AF_412312	28	Er lebt wie Gott in Frankreich	33	116529	keine	0	66	30	6	1,555555556	1,555555556	3,875	4,2	2,333333333	3,564309236	3,25	7	miss
123,563	2	12AF_412312	29	Er ist auf seinen Sohn sehr stolz	66	123563	keine	0	163	33	7	1,666666667	1,666666667	5,545454546	3,727272727	3,416666667	999	999	999	miss
128,593	2	12AF_412312	30	Er hat es faustdick hinter den Ohren	22	128593	keine	0	40	36	7	-0,111111111	0,111111111	3,428571429	5,454545455	2	3,673057713	2,777777778	7	miss
132,632	2	12AF_412312	31	Sie schaut ihn liebevoll an	66	132632	keine	0	175	27	5	2	2	5,272727273	5,363636364	5,75	999	999	999	miss
135,661	2	12AF_412312	32	## ##### ### ### #####	77	135661	keine	0	222	22	5	9	9	9	9	9	9	9	9	miss
138,694	2	12AF_412312	33	## #### #### #######	77	138694	keine	0	220	20	4	9	9	9	9	9	9	9	9	miss
141,728	2	12AF_412312	34	Sie schlŠft gut	66	141728	keine	0	168	15	3	1,833333333	1,833333333	4,454545455	5,272727273	4,916666667	999	999	999	miss
144,762	2	12AF_412312	35	## ##### ### ##### ### #######	77	144762	keine	0	223	30	6	9	9	9	9	9	9	9	9	miss
