onset	duration	Experiment - R6CVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
423,774	2	23aw_415112	92	Er fŸhlt sich nicht wohl	44	423774	keine	0	107	24	5	-1,833333333	1,833333333	4,727272727	5,181818182	2,75	999	999	999	miss
427,814	2	23aw_415112	93	Sie hat einen Geistesblitz	33	427814	keine	0	74	26	4	1,777777778	1,777777778	3,875	5,7	3,454545455	3,908511154	3,875	6,8	miss
432,843	2	23aw_415112	94	Es macht keinen Unterschied fŸr ihn	55	432843	keine	0	124	35	6	-0,090909091	0,090909091	3	5,181818182	2	999	999	999	miss
437,882	2	23aw_415112	95	#### #### ###### ##### ####	77	437882	keine	0	182	27	5	9	9	9	9	9	9	9	9	miss
440,922	2	23aw_415112	96	### ###### ##### ######## #########	77	440922	keine	0	263	35	5	9	9	9	9	9	9	9	9	miss
443,956	2	23aw_415112	97	Sie ist fit wie ein Turnschuh	33	443956	keine	0	86	29	6	2,333333333	2,333333333	3,375	6,090909091	3,272727273	3,936479301	5,25	6,5	miss
449,99	2	23aw_415112	98	## ##### ###### ###########	77	449990	keine	0	268	27	4	9	9	9	9	9	9	9	9	miss
453,023	2	23aw_415112	99	Alles ist in Ordnung	66	453023	keine	0	155	20	4	1,25	1,25	3,727272727	5,454545455	1,916666667	999	999	999	miss
459,057	2	23aw_415112	100	Sie steckt bis Ÿber die Ohren in Schulden	11	459057	keine	0	14	41	8	-2	2	4	4,6	2,454545455	3,812915363	6,125	7	miss
