onset	duration	Experiment - R6CVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,633	2	23aw_415112	1	Er mag keine Suppe	99	1633	keine	0	272	18	4	9	9	9	9	9	9	9	9	miss
4,667	2	23aw_415112	2	Sie ist sehr konzentriert	99	4667	keine	0	276	25	4	9	9	9	9	9	9	9	9	miss
7,701	2	23aw_415112	3	Es ist in aller Munde	22	7701	keine	0	55	21	5	0,333333333	0,333333333	3,25	5,4	2,888888889	3,696579703	4,75	7	miss
10,735	2	23aw_415112	4	Sie hŠlt ihre Zunge im Zaum	22	10735	keine	0	48	27	6	0,111111111	0,111111111	2,75	4,7	3,454545455	3,802867848	5,125	6,25	miss
17,769	2	23aw_415112	5	### #### ### ##### ######## ##	77	17769	keine	0	253	30	6	9	9	9	9	9	9	9	9	miss
20,798	2	23aw_415112	6	### ### #### ### #####	77	20798	keine	0	214	22	5	9	9	9	9	9	9	9	9	miss
24,832	2	23aw_415112	7	Wurde dir soeben ein Satz prŠsentiert?	88	24832	Nein	2797	917	38	6	9	9	9	9	9	9	9	9	correct
30,865	2	23aw_415112	8	Er spitzte die Ohren	22	30865	keine	0	59	20	4	0,444444444	0,444444444	3,625	5,5	5,181818182	4,096573349	4	7	miss
33,894	2	23aw_415112	9	Ihm ist Ÿbel geworden	44	33894	keine	0	104	21	4	-1,916666667	1,916666667	4,727272727	4,636363636	4,75	999	999	999	miss
38,928	2	23aw_415112	10	Er merkt wie sich die Sachen entwickeln	55	38928	keine	0	147	39	7	0,583333333	0,583333333	3,7	4,636363636	2,5	999	999	999	miss
41,968	2	23aw_415112	11	## #### ##### ##########	77	41968	keine	0	221	24	4	9	9	9	9	9	9	9	9	miss
45,001	2	23aw_415112	12	Sie holt sich den Tod	11	45001	keine	0	11	21	5	-2,111111111	2,111111111	4	5,545454546	2,545454546	3,908683056	5,142857143	7	miss
48,036	2	23aw_415112	13	## ### ###### ######	77	48036	keine	0	208	20	4	9	9	9	9	9	9	9	9	miss
54,07	2	23aw_415112	14	Er hat es faustdick hinter den Ohren	22	54070	keine	0	40	36	7	-0,111111111	0,111111111	3,428571429	5,454545455	2	3,673057713	2,777777778	7	miss
57,104	2	23aw_415112	15	Es ist nicht so schwierig	55	57104	keine	0	145	25	5	0,5	0,5	3,727272727	4,727272727	2,083333333	999	999	999	miss
61,138	2	23aw_415112	16	Es war ein ganz normaler Tag	55	61138	keine	0	125	28	6	-0,083333333	0,083333333	2,9	5,4	1,75	999	999	999	miss
64,166	2	23aw_415112	17	Sie Šrgert sich Ÿber ihren Vorgesetzten	44	64166	keine	0	109	39	6	-1,75	1,75	5	4	4,416666667	999	999	999	miss
67,2	2	23aw_415112	18	Sie ist schlechter Stimmung	44	67200	keine	0	113	27	4	-1,583333333	1,583333333	5	4,545454546	2,916666667	999	999	999	miss
70,234	2	23aw_415112	19	Er folgt der Stimme seines Herzens	33	70234	keine	0	81	34	6	2	2	4,142857143	5,2	2,818181818	3,821729672	5,111111111	7	miss
76,268	2	23aw_415112	20	Er ist daran verzweifelt	44	76268	keine	0	91	24	4	-2,666666667	2,666666667	5,545454546	5,636363636	1,916666667	999	999	999	miss
83,303	2	23aw_415112	21	Sie reagierte enthusiastisch auf den Vorschlag	66	83303	keine	0	160	46	6	1,5	1,5	5,545454546	3,818181818	3,916666667	999	999	999	miss
90,331	2	23aw_415112	22	Sie lag erschšpft im Bett	44	90331	keine	0	119	25	5	-0,833333333	0,833333333	4,636363636	5,454545455	5	999	999	999	miss
94,36	2	23aw_415112	23	Er prŸgelte ihm die Seele aus dem Leib	11	94360	keine	0	1	38	8	-2,777777778	2,777777778	6	4,2	4,454545455	4,884848485	5,75	7	miss
97,389	2	23aw_415112	24	## ### ### ### ### ### ####### ##	77	97389	keine	0	217	33	8	9	9	9	9	9	9	9	9	miss
100,423	2	23aw_415112	25	Hast du soeben viele Rautezeichen gesehen?	88	100423	Ja	1605	918	42	6	9	9	9	9	9	9	9	9	correct
107,463	2	23aw_415112	26	Er ist ein anstrengender Mensch	44	107463	keine	0	111	31	5	-1,75	1,75	5	5,454545455	2,75	999	999	999	miss
110,502	2	23aw_415112	27	### ##### ##### ### ### ## ######	77	110502	keine	0	219	33	7	9	9	9	9	9	9	9	9	miss
116,536	2	23aw_415112	28	Er ist Feuer und Flamme	33	116536	keine	0	82	23	5	2,111111111	2,111111111	4,285714286	5,7	3,272727273	3,844404201	3,125	7	miss
123,571	2	23aw_415112	29	Er gewinnt neues Selbstvertrauen	66	123571	keine	0	169	32	4	1,833333333	1,833333333	5,272727273	4,363636364	2,583333333	999	999	999	miss
128,6	2	23aw_415112	30	Er ist Ÿber alle Berge	22	128600	keine	0	32	22	5	-0,222222222	0,222222222	3,25	5,636363636	2,272727273	3,915657047	3,875	7	miss
132,639	2	23aw_415112	31	Sie wird herzlich begrŸ§t	66	132639	keine	0	171	25	4	1,916666667	1,916666667	5,454545455	5,545454546	4,916666667	999	999	999	miss
135,668	2	23aw_415112	32	## ####### ##### #####	77	135668	keine	0	212	22	4	9	9	9	9	9	9	9	9	miss
138,702	2	23aw_415112	33	### #### #### ### ######	77	138702	keine	0	193	24	5	9	9	9	9	9	9	9	9	miss
141,736	2	23aw_415112	34	Sie ist ŸberglŸcklich deswegen	66	141736	keine	0	180	30	4	2,666666667	2,666666667	6,454545455	4,818181818	2,416666667	999	999	999	miss
144,769	2	23aw_415112	35	#### ### ##### #### ####	77	144769	keine	0	231	24	5	9	9	9	9	9	9	9	9	miss
147,803	2	23aw_415112	36	Sie genie§t ihre Freizeit	66	147803	keine	0	164	25	4	1,666666667	1,666666667	5,090909091	5,909090909	2,916666667	999	999	999	miss
150,837	2	23aw_415112	37	Er platzt vor Neid	11	150837	keine	0	18	18	4	-1,888888889	1,888888889	4,375	5,272727273	3,090909091	3,976193063	5,777777778	6	miss
153,871	2	23aw_415112	38	### ##### #### ##### ####	77	153871	keine	0	243	25	5	9	9	9	9	9	9	9	9	miss
156,905	2	23aw_415112	39	### ### ##### ### #### #####	77	156905	keine	0	203	28	6	9	9	9	9	9	9	9	9	miss
161,938	2	23aw_415112	40	Er lŠsst kein gutes Haar daran	11	161938	keine	0	26	30	6	-1,75	1,75	3,625	5,222222222	2	3,634250914	3,888888889	7	miss
169,978	2	23aw_415112	41	†bt er viel Kritik daran?	88	169978	Ja	1368	919	25	5	9	9	9	9	9	9	9	9	correct
176,025	2	23aw_415112	42	Sie machen heute ein Picknick am Strand	66	176025	keine	0	177	39	7	2,166666667	2,166666667	4,363636364	4,636363636	5,5	999	999	999	miss
183,054	2	23aw_415112	43	### ######### #### ########### ### ### ######	77	183054	keine	0	260	45	7	9	9	9	9	9	9	9	9	miss
186,081	2	23aw_415112	44	Es wŠchst ihr ans Herz	33	186081	keine	0	72	22	5	1,666666667	1,666666667	4,125	5,909090909	2,909090909	3,992602731	3,777777778	7	miss
190,116	2	23aw_415112	45	##### ##### ##### ##### #### ####	77	190116	keine	0	189	33	6	9	9	9	9	9	9	9	9	miss
198,145	2	23aw_415112	46	Hast du soeben mehrere Dreiecke gesehen?	88	198145	Nein	1752	920	40	6	9	9	9	9	9	9	9	9	correct
203,19	2	23aw_415112	47	Es ist eine Augenweide	33	203190	keine	0	76	22	4	1,777777778	1,777777778	3,857142857	5,6	2,625	3,563778739	3,222222222	7	miss
208,225	2	23aw_415112	48	Er bereitet sich darauf vor	55	208225	keine	0	144	27	5	0,416666667	0,416666667	2,9	5,545454546	2,833333333	999	999	999	miss
211,264	2	23aw_415112	49	Sie ist zŠh wie Leder	22	211264	keine	0	50	21	5	0,222222222	0,222222222	3,25	3,4	3,363636364	3,760535501	6,444444444	5,166666667	miss
216,298	2	23aw_415112	50	Ist sie sehr zart?	88	216298	Nein	2134	921	18	4	9	9	9	9	9	9	9	9	correct
225,342	2	23aw_415112	51	## ##### #### ####	77	225342	keine	0	236	18	4	9	9	9	9	9	9	9	9	miss
228,373	2	23aw_415112	52	### ##### ### ##### ####	77	228373	keine	0	195	24	5	9	9	9	9	9	9	9	9	miss
231,407	2	23aw_415112	53	Es ist gehŸpft wie gesprungen	22	231407	keine	0	42	29	5	0	0	2,625	5,111111111	2,111111111	3,451564843	4,5	5	miss
237,441	2	23aw_415112	54	### ##### #### ##### ##### ## #####	77	237441	keine	0	210	35	7	9	9	9	9	9	9	9	9	miss
240,476	2	23aw_415112	55	## ### ## ######### ###### ### #####	77	240476	keine	0	213	36	7	9	9	9	9	9	9	9	9	miss
245,509	2	23aw_415112	56	Er hat im Lotto gewonnen	66	245509	keine	0	174	24	5	2	2	5,636363636	4,181818182	4,25	999	999	999	miss
250,549	2	23aw_415112	57	Es hat sich nichts bei ihr verŠndert	55	250549	keine	0	121	36	7	-0,272727273	0,272727273	2,9	4,545454546	1,75	999	999	999	miss
255,589	2	23aw_415112	58	Er freundet sich mit ihm an	66	255589	keine	0	165	27	6	1,666666667	1,666666667	4,272727273	4,909090909	3,583333333	999	999	999	miss
259,628	2	23aw_415112	59	Sie bricht ihm das Herz	11	259628	keine	0	7	23	5	-2,222222222	2,222222222	5,5	6,3	2,909090909	4,041178878	5	7	miss
264,656	2	23aw_415112	60	Macht sie ihn traurig?	88	264656	Ja	1831	922	22	4	9	9	9	9	9	9	9	9	correct
273,703	2	23aw_415112	61	## ##### ### ##### ### #######	77	273703	keine	0	223	30	6	9	9	9	9	9	9	9	9	miss
279,732	2	23aw_415112	62	Sie macht einen Vorschlag	55	279732	keine	0	122	25	4	-0,25	0,25	3,090909091	5,181818182	3,909090909	999	999	999	miss
285,766	2	23aw_415112	63	Er ist auf seinen Sohn sehr stolz	66	285766	keine	0	163	33	7	1,666666667	1,666666667	5,545454546	3,727272727	3,416666667	999	999	999	miss
288,8	2	23aw_415112	64	Er ist ein Waschlappen	11	288800	keine	0	21	22	4	-1,888888889	1,888888889	3,625	4,545454546	2,3	3,782453788	2,444444444	5,8	miss
292,834	2	23aw_415112	65	Sie ist ihr ein Dorn im Auge	11	292834	keine	0	17	28	7	-1,888888889	1,888888889	3,857142857	5,5	3	3,837884849	4,75	5,714285714	miss
298,863	2	23aw_415112	66	Er wird den ganzen Tag in der Schule geŠrgert	44	298863	keine	0	92	45	9	-2,583333333	2,583333333	4,818181818	3,727272727	3,916666667	999	999	999	miss
304,898	2	23aw_415112	67	### ##### ##### ##### ##### #### ### ##### ######	77	304898	keine	0	207	49	9	9	9	9	9	9	9	9	9	miss
307,932	2	23aw_415112	68	#### ## ### ##### #####	77	307932	keine	0	197	23	5	9	9	9	9	9	9	9	9	miss
310,966	2	23aw_415112	69	Er fŸhrt Bšses im Schilde	11	310966	keine	0	8	25	5	-2,111111111	2,111111111	4	5,545454546	2,363636364	3,920169782	4,222222222	6,4	miss
315,999	2	23aw_415112	70	Hat er gute Absichten?	88	315999	Nein	1210	923	22	4	9	9	9	9	9	9	9	9	correct
326,044	2	23aw_415112	71	Sie geht an die Decke	11	326044	keine	0	23	21	5	-1,777777778	1,777777778	5,25	5,8	2,9	3,877562694	3,375	7	miss
329,086	2	23aw_415112	72	Er steht im Zenit seines Lebens	33	329086	keine	0	71	31	6	1,666666667	1,666666667	3,625	3	2,727272727	3,675413869	4,875	5,5	miss
335,119	2	23aw_415112	73	#### ###### ######	77	335119	keine	0	190	18	3	9	9	9	9	9	9	9	9	miss
338,154	2	23aw_415112	74	Er kommt Ÿber die Runden	22	338154	keine	0	39	24	5	-0,111111111	0,111111111	2,25	5,7	1,333333333	3,314000988	3,375	7	miss
342,188	2	23aw_415112	75	Die Beschreibung des Projektes ist jetzt verfŸgbar	55	342188	keine	0	136	50	7	0,166666667	0,166666667	2,4	3,909090909	4,166666667	999	999	999	miss
347,216	2	23aw_415112	76	Sie ist im siebten Himmel	33	347216	keine	0	89	25	5	2,666666667	2,666666667	5,25	5,818181818	2	4,014157968	3,666666667	7	miss
351,256	2	23aw_415112	77	Sie trŠgt das Herz auf der Zunge	22	351256	keine	0	56	32	7	0,333333333	0,333333333	4	3,727272727	3,363636364	3,820586099	4,333333333	6	miss
354,284	2	23aw_415112	78	Sie ist Ÿberarbeitet	44	354284	keine	0	110	20	3	-1,75	1,75	5,090909091	5,090909091	3	999	999	999	miss
359,319	2	23aw_415112	79	### ### ##### ######## ###########	77	359319	keine	0	244	34	5	9	9	9	9	9	9	9	9	miss
365,358	2	23aw_415112	80	### ### ##### #########	77	365358	keine	0	227	23	4	9	9	9	9	9	9	9	9	miss
368,392	2	23aw_415112	81	Er betrachtet es genau	55	368392	keine	0	135	22	4	0,166666667	0,166666667	3,3	4,909090909	5,636363636	999	999	999	miss
374,426	2	23aw_415112	82	Sie ist die Ehrlichkeit in Person	33	374426	keine	0	83	33	6	2,111111111	2,111111111	3,375	5	2,272727273	3,861333287	5,875	7	miss
381,462	2	23aw_415112	83	Sie haben sowohl Šhnliche wie auch unterschiedliche Ansichten	55	381462	keine	0	139	61	8	0,181818182	0,181818182	3,1	4	2,75	999	999	999	miss
385,491	2	23aw_415112	84	##### ##### #### ###### ##### ######## ###### ####	77	385491	keine	0	187	50	8	9	9	9	9	9	9	9	9	miss
388,518	2	23aw_415112	85	Er ist ein alter Hase	22	388518	keine	0	60	21	5	0,444444444	0,444444444	2,142857143	5	2,272727273	3,661113748	2	6	miss
391,552	2	23aw_415112	86	Er lŠsst sein Herz sprechen	33	391552	keine	0	65	27	5	1,444444444	1,444444444	4,125	4	3,090909091	3,875012971	5,333333333	7	miss
396,586	2	23aw_415112	87	LŠsst er sich von seinen GefŸhlen leiten?	88	396586	Ja	2324	924	41	7	9	9	9	9	9	9	9	9	correct
402,632	2	23aw_415112	88	### ####### #### ##### #### ############	77	402632	keine	0	245	40	6	9	9	9	9	9	9	9	9	miss
407,659	2	23aw_415112	89	### #### ########	77	407659	keine	0	185	17	3	9	9	9	9	9	9	9	9	miss
412,7	2	23aw_415112	90	## ### ##### ######	77	412700	keine	0	261	19	4	9	9	9	9	9	9	9	9	miss
415,74	2	23aw_415112	91	Er fŠllt durch die AbschlussprŸfung	44	415740	keine	0	95	35	5	-2,5	2,5	5,454545455	3,454545455	3,833333333	999	999	999	miss
