onset	duration	Experiment - R5CVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,623	2	07LR_4100	1	Es stšrt keinen gro§en Geist	99	1623	keine	0	274	28	5	9	9	9	9	9	9	9	9	miss
4,657	2	07LR_4100	2	Er bekam sein Fett weg	99	4657	keine	0	275	22	5	9	9	9	9	9	9	9	9	miss
7,691	2	07LR_4100	3	Wurde er kritisiert?	88	7691	Ja	1813	909	20	3	9	9	9	9	9	9	9	9	correct
13,731	2	07LR_4100	4	Er hat Schmetterlinge im Bauch	33	13731	keine	0	87	30	5	2,375	2,375	4,75	6	3,363636364	4,064976457	3,375	7	miss
16,759	2	07LR_4100	5	### ### ########## ##########	77	16759	keine	0	257	29	4	9	9	9	9	9	9	9	9	miss
22,793	2	07LR_4100	6	Er grinst Ÿber beide Ohren	33	22793	keine	0	85	26	5	2,142857143	2,142857143	5	5,333333333	4,818181818	5,050505051	6,222222222	7	miss
26,827	2	07LR_4100	7	Ist er sehr froh?	88	26827	Ja	1720	910	17	4	9	9	9	9	9	9	9	9	correct
33,862	2	07LR_4100	8	Es geht um tŠgliche Aufgaben	55	33862	keine	0	129	28	5	0	0	2,818181818	4,545454546	2,333333333	999	999	999	miss
36,902	2	07LR_4100	9	Er geht kaum noch aus dem Haus	44	36902	keine	0	118	30	7	-1	1	4,090909091	5,181818182	4,583333333	999	999	999	miss
39,935	2	07LR_4100	10	Verbringt er viel Zeit in der Natur?	88	39935	Nein	1611	911	36	7	9	9	9	9	9	9	9	9	correct
45,976	2	07LR_4100	11	Sie hat die Weisheit mit Lšffeln gefressen	22	45976	keine	0	36	42	7	-0,222222222	0,222222222	3,5	5,2	3,090909091	3,947541587	4,625	7	miss
49,004	2	07LR_4100	12	Sie schaffen das ganz gut	66	49004	keine	0	151	25	5	1,083333333	1,083333333	4,363636364	5,454545455	2,333333333	999	999	999	miss
56,038	2	07LR_4100	13	## ###### ###############	77	56038	keine	0	262	25	3	9	9	9	9	9	9	9	9	miss
60,068	2	07LR_4100	14	Er leidet sehr unter die Kritik seines Chefs	44	60068	keine	0	100	44	8	-2,083333333	2,083333333	5,727272727	3,636363636	3,833333333	999	999	999	miss
65,096	2	07LR_4100	15	#### ##### ##### ##### ####	77	65096	keine	0	237	27	5	9	9	9	9	9	9	9	9	miss
71,135	2	07LR_4100	16	Sie ist nur noch Haut und Knochen	11	71135	keine	0	12	33	7	-2	2	3,625	5,545454546	4	4,077898397	5,666666667	7	miss
75,17	2	07LR_4100	17	### ####### #### ### ######	77	75170	keine	0	211	27	5	9	9	9	9	9	9	9	9	miss
78,199	2	07LR_4100	18	####### ### ###### ######### ##### ####	77	78199	keine	0	183	39	6	9	9	9	9	9	9	9	9	miss
81,232	2	07LR_4100	19	Sie wird dafŸr hart bestraft	44	81232	keine	0	94	28	5	-2,5	2,5	5,727272727	3,545454546	3,583333333	999	999	999	miss
89,266	2	07LR_4100	20	### ### #### ##### ####	77	89266	keine	0	196	23	5	9	9	9	9	9	9	9	9	miss
97,307	2	07LR_4100	21	## ### ####### #######	77	97307	keine	0	242	22	4	9	9	9	9	9	9	9	9	miss
100,35	2	07LR_4100	22	Er ist bekannt wie ein bunter Hund	22	100350	keine	0	57	34	7	0,444444444	0,444444444	2,75	5,1	2,888888889	3,59094947	3,714285714	4,75	miss
103,381	2	07LR_4100	23	Es wurde heute aufgerŠumt	55	103381	keine	0	143	25	4	0,333333333	0,333333333	2,909090909	3,818181818	4,833333333	999	999	999	miss
106,415	2	07LR_4100	24	## ### ######### #####	77	106415	keine	0	204	22	4	9	9	9	9	9	9	9	9	miss
110,448	2	07LR_4100	25	Sie hat Geld ohne Ende	33	110448	keine	0	64	22	5	1,444444444	1,444444444	3,5	4,6	2	3,769601367	5,875	7	miss
117,477	2	07LR_4100	26	### ####### #### ######## ## ###	77	117477	keine	0	266	32	6	9	9	9	9	9	9	9	9	miss
120,506	2	07LR_4100	27	Sie hat einen Schnupfen	44	120506	keine	0	112	23	4	-1,75	1,75	3,545454546	4,545454546	5,333333333	999	999	999	miss
123,54	2	07LR_4100	28	Sie ist unfŠhig	44	123540	keine	0	106	15	3	-1,833333333	1,833333333	5,272727273	4	2,25	999	999	999	miss
126,574	2	07LR_4100	29	Er schreibt seine Gedanken auf	55	126574	keine	0	137	30	5	0,166666667	0,166666667	3,6	4,454545455	4,5	999	999	999	miss
129,608	2	07LR_4100	30	Er spaziert durch die Sonne	66	129608	keine	0	153	27	5	1,166666667	1,166666667	3,909090909	4,727272727	5,333333333	999	999	999	miss
136,642	2	07LR_4100	31	Er wird freundlich aufgenommen	66	136642	keine	0	167	30	4	1,833333333	1,833333333	4,545454546	4,636363636	3,333333333	999	999	999	miss
140,671	2	07LR_4100	32	Alles lŠuft wie immer	55	140671	keine	0	138	21	4	0,166666667	0,166666667	3,4	5	1,75	999	999	999	miss
145,699	2	07LR_4100	33	Er plaudert aus dem NŠhkŠstchen	22	145699	keine	0	35	31	5	-0,222222222	0,222222222	2,875	4,818181818	3,909090909	4,004474986	2,5	7	miss
149,739	2	07LR_4100	34	Plaudert er Geheimnisse aus?	88	149739	Ja	1050	912	28	4	9	9	9	9	9	9	9	9	correct
