onset	duration	Experiment - R5CVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
155,774	2	07LR_4100	35	### #### #### #########	77	155774	keine	0	181	23	4	9	9	9	9	9	9	9	9	miss
158,802	2	07LR_4100	36	#### ##### #### #####	77	158802	keine	0	184	21	4	9	9	9	9	9	9	9	9	miss
163,835	2	07LR_4100	37	Er denkt jetzt daran	55	163835	keine	0	127	20	4	0	0	2,9	5,3	2,333333333	999	999	999	miss
166,876	2	07LR_4100	38	#### ###### #########	77	166876	keine	0	233	21	3	9	9	9	9	9	9	9	9	miss
170,91	2	07LR_4100	39	Sie macht sich Sorgen um ihre Zukunft	44	170910	keine	0	101	37	7	-2,083333333	2,083333333	5,454545455	5,363636364	2,75	999	999	999	miss
177,938	2	07LR_4100	40	Er ist bis Ÿber beide Ohren verliebt	33	177938	keine	0	88	36	7	2,555555556	2,555555556	5,5	6	2,727272727	4,021927447	4,125	7	miss
182,967	2	07LR_4100	41	Es hat nichts damit zu tun	55	182967	keine	0	131	26	6	0	0	2,7	5,4	1,666666667	999	999	999	miss
189,007	2	07LR_4100	42	##### ##### ## ####### #### ########## ### ########	77	189007	keine	0	230	51	8	9	9	9	9	9	9	9	9	miss
195,041	2	07LR_4100	43	Sie ist davon verwirrt	44	195041	keine	0	116	22	4	-1,166666667	1,166666667	4,363636364	5,545454546	2,666666667	999	999	999	miss
202,076	2	07LR_4100	44	#### #### ##### ##########	77	202076	keine	0	255	26	4	9	9	9	9	9	9	9	9	miss
205,106	2	07LR_4100	45	Das war eine schšne Erinnerung	66	205106	keine	0	166	30	5	1,75	1,75	5	5,363636364	2,166666667	999	999	999	miss
210,139	2	07LR_4100	46	Er feuerte ihn	11	210139	keine	0	10	14	3	-2,111111111	2,111111111	4,875	6,636363636	3,555555556	4,003443973	2,75	5,8	miss
214,179	2	07LR_4100	47	Er grinst wie ein Honigkuchenpferd	33	214179	keine	0	73	34	5	1,666666667	1,666666667	3,875	4,545454546	4,545454546	4,048617879	3	7	miss
219,208	2	07LR_4100	48	Sie redet Klartext	22	219208	keine	0	58	18	3	0,444444444	0,444444444	4,25	6,1	4,818181818	4,1943856	5,666666667	7	miss
225,247	2	07LR_4100	49	Sie macht ihr die Hšlle hei§	11	225247	keine	0	27	28	6	-1,666666667	1,666666667	5,125	5,272727273	3,909090909	4,086060651	5,111111111	7	miss
228,282	2	07LR_4100	50	Sie versteht was er meint	55	228282	keine	0	149	25	5	0,666666667	0,666666667	3,454545455	5,545454546	3,25	999	999	999	miss
232,316	2	07LR_4100	51	Sie bekommt einen Auftrag	55	232316	keine	0	140	25	4	0,25	0,25	4	4,363636364	3,5	999	999	999	miss
235,344	2	07LR_4100	52	### ###### ### ##### ###	77	235344	keine	0	200	24	5	9	9	9	9	9	9	9	9	miss
239,378	2	07LR_4100	53	Sie sieht alles schwarz	11	239378	keine	0	2	23	4	-2,222222222	2,222222222	3,875	5,454545455	3,727272727	4,079161024	4,888888889	6,7	miss
243,407	2	07LR_4100	54	Sie lacht Ÿber den Scherz	66	243407	keine	0	161	25	5	1,583333333	1,583333333	4,454545455	4,454545455	5	999	999	999	miss
246,434	2	07LR_4100	55	Sie fŸhlt sich gesund und aktiv	66	246434	keine	0	170	31	6	1,916666667	1,916666667	4,818181818	4,363636364	4,416666667	999	999	999	miss
251,469	2	07LR_4100	56	Sie machte ihn zur Sau	11	251469	keine	0	20	22	5	-1,888888889	1,888888889	5,125	5,5	3,181818182	4,02007152	3,25	7	miss
256,508	2	07LR_4100	57	## ### ##### ############	77	256508	keine	0	194	25	4	9	9	9	9	9	9	9	9	miss
264,549	2	07LR_4100	58	## ##### ### #####	77	264549	keine	0	198	18	4	9	9	9	9	9	9	9	9	miss
268,589	2	07LR_4100	59	Sie ist nun ruhig	55	268589	keine	0	146	17	4	0,583333333	0,583333333	4	4,636363636	3,5	999	999	999	miss
271,618	2	07LR_4100	60	Er ist dumm wie Brot	11	271618	keine	0	3	20	5	-2,222222222	2,222222222	4,25	6,1	1,818181818	3,81565291	4,222222222	7	miss
274,651	2	07LR_4100	61	#### ###### ####### #####	77	274651	keine	0	191	25	4	9	9	9	9	9	9	9	9	miss
277,685	2	07LR_4100	62	Sie schert sich zum Teufel	11	277685	keine	0	5	26	5	-2,222222222	2,222222222	4,625	4,818181818	2,3	3,823033539	3,888888889	7	miss
284,719	2	07LR_4100	63	Sie baut Luftschlšsser	22	284719	keine	0	37	22	3	-0,125	0,125	3,75	4,1	2,181818182	3,684456299	5,375	7	miss
287,748	2	07LR_4100	64	## ## ##########	77	287748	keine	0	239	16	3	9	9	9	9	9	9	9	9	miss
290,782	2	07LR_4100	65	## ######## ##### #####	77	290782	keine	0	264	23	4	9	9	9	9	9	9	9	9	miss
296,816	2	07LR_4100	66	#### #### ### ##### ### #####	77	296816	keine	0	229	29	6	9	9	9	9	9	9	9	9	miss
301,85	2	07LR_4100	67	Er ist wie aus dem Ei gepellt	33	301850	keine	0	63	29	7	1,333333333	1,333333333	2,75	4,636363636	3,181818182	3,856886217	4,777777778	6,5	miss
304,89	2	07LR_4100	68	Er hat einen guten Draht zu ihm	33	304890	keine	0	79	31	7	2	2	3,5	6,272727273	2	3,794818339	5	7	miss
307,925	2	07LR_4100	69	Das war eine schwierige Entscheidung	44	307925	keine	0	120	36	5	-0,363636364	0,363636364	5	5,909090909	2,166666667	999	999	999	miss
312,958	2	07LR_4100	70	Er ist eine falsche Schlange	11	312958	keine	0	6	28	5	-2,222222222	2,222222222	4,375	4,9	2	3,858075672	4	7	miss
318,999	2	07LR_4100	71	### ####### #### ### ### ######## ### #########	77	318999	keine	0	206	47	8	9	9	9	9	9	9	9	9	miss
325,032	2	07LR_4100	72	## ##### ###### ##### #####	77	325032	keine	0	270	28	5	9	9	9	9	9	9	9	9	miss
329,067	2	07LR_4100	73	Sie wŠgt ihre Worte ab	22	329067	keine	0	43	22	5	0	0	1,875	5,272727273	2,818181818	3,743860744	5,428571429	7	miss
334,095	2	07LR_4100	74	Er schŸttet ihr sein Herz aus	22	334095	keine	0	51	29	6	0,222222222	0,222222222	4,625	5,909090909	2,888888889	3,851628559	5,444444444	7	miss
340,135	2	07LR_4100	75	### #### ## ### #####	77	340135	keine	0	202	21	5	9	9	9	9	9	9	9	9	miss
343,17	2	07LR_4100	76	### #### ####### ##	77	343170	keine	0	241	19	4	9	9	9	9	9	9	9	9	miss
346,203	2	07LR_4100	77	Sie ist stur wie ein Bock	11	346203	keine	0	22	25	6	-1,777777778	1,777777778	3,375	5,1	2,4	3,724225263	5,375	7	miss
350,237	2	07LR_4100	78	Ist sie sehr nachgiebig?	88	350237	Nein	1530	913	24	4	9	9	9	9	9	9	9	9	correct
357,271	2	07LR_4100	79	Es ist Jacke wie Hose	22	357271	keine	0	46	21	5	0,111111111	0,111111111	5,125	5,4	1,818181818	3,840995304	2,375	6,4	miss
361,311	2	07LR_4100	80	Er ist wŸtend auf sie	44	361311	keine	0	103	21	5	-2	2	5,727272727	5,272727273	3,583333333	999	999	999	miss
366,34	2	07LR_4100	81	Er schweigt wie ein Grab	22	366340	keine	0	47	24	5	0,111111111	0,111111111	3,75	5,454545455	4	4,004517337	5,888888889	6,5	miss
369,379	2	07LR_4100	82	VerrŠt er das Geheimnis?	88	369379	Nein	1325	914	24	4	9	9	9	9	9	9	9	9	correct
374,42	2	07LR_4100	83	Sie holt fŸr ihn die Sterne vom Himmel	33	374420	keine	0	84	38	8	2,125	2,125	4,375	5,7	2,454545455	3,838892776	5,25	7	miss
377,454	2	07LR_4100	84	#### ###### ###### #######	77	377454	keine	0	256	26	4	9	9	9	9	9	9	9	9	miss
380,487	2	07LR_4100	85	Ihr lŠuft die Galle Ÿber	11	380487	keine	0	13	24	5	-2	2	4,285714286	3,333333333	3,454545455	3,691197691	3,125	3,625	miss
385,521	2	07LR_4100	86	Mir fŠllt ein Stein vom Herzen	33	385521	keine	0	75	30	6	1,777777778	1,777777778	5,125	6,2	2,909090909	4,029881943	5,75	7	miss
391,561	2	07LR_4100	87	Bin ich erleichtert?	88	391561	Ja	1869	915	20	3	9	9	9	9	9	9	9	9	correct
398,602	2	07LR_4100	88	### ##### ### ####### ####	77	398602	keine	0	226	26	5	9	9	9	9	9	9	9	9	miss
401,641	2	07LR_4100	89	Sie kommt auf einen Sprung herein	22	401641	keine	0	53	33	6	0,25	0,25	2,375	4,9	3,545454546	3,789847865	3,25	6	miss
408,675	2	07LR_4100	90	Sie lernte es mŸhelos	66	408675	keine	0	156	21	4	1,333333333	1,333333333	4,363636364	3,909090909	3,25	999	999	999	miss
413,704	2	07LR_4100	91	Er genie§t die Gesellschaft	66	413704	keine	0	176	27	4	2	2	5	5,181818182	3,333333333	999	999	999	miss
416,744	2	07LR_4100	92	### #### ##### ######## #### ###	77	416744	keine	0	186	32	6	9	9	9	9	9	9	9	9	miss
422,779	2	07LR_4100	93	Sie bespricht die Angelegenheit mit ihren Kollegen	55	422779	keine	0	126	50	7	0	0	3,181818182	5,181818182	5,363636364	999	999	999	miss
430,813	2	07LR_4100	94	HŠlt sie die Angelegenheit geheim?	88	430813	Nein	2157	916	34	5	9	9	9	9	9	9	9	9	correct
439,859	2	07LR_4100	95	Er ist total zufrieden mit sich	66	439859	keine	0	179	31	6	2,583333333	2,583333333	5,545454546	4,818181818	2,833333333	999	999	999	miss
442,887	2	07LR_4100	96	Das ist beruhigend	66	442887	keine	0	157	18	3	1,333333333	1,333333333	4,363636364	5,636363636	3,083333333	999	999	999	miss
445,922	2	07LR_4100	97	## ### #### ###### ### ### ########## ##	77	445922	keine	0	250	40	7	9	9	9	9	9	9	9	9	miss
448,956	2	07LR_4100	98	Er hatte Schwierigkeiten damit	44	448956	keine	0	117	30	4	-1,166666667	1,166666667	4,727272727	5	1,916666667	999	999	999	miss
453,99	2	07LR_4100	99	## ### ##### ######## ##### #########	77	453990	keine	0	246	37	6	9	9	9	9	9	9	9	9	miss
459,03	2	07LR_4100	100	Sie eroberte sein Herz	33	459030	keine	0	80	22	4	2	2	5,125	5,545454546	2,4	3,894545162	5,777777778	6,4	miss
