onset	duration	Experiment - R1AVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,619	2	24AD_lo34194	1	Sie hat etwas vor	99	1619	keine	0	271	17	4	9	9	9	9	9	9	9	9	miss
4,653	2	24AD_lo34194	2	Er mag keine Suppe	99	4653	keine	0	272	18	4	9	9	9	9	9	9	9	9	miss
7,687	2	24AD_lo34194	3	Sie holt für ihn die Sterne vom Himmel	33	7687	keine	0	84	38	8	2,125	2,125	4,375	5,7	2,454545455	3,838892776	5,25	7	miss
12,72	2	24AD_lo34194	4	## ####### ##### #####	77	12720	keine	0	212	22	4	9	9	9	9	9	9	9	9	miss
18,761	2	24AD_lo34194	5	Er prügelte ihm die Seele aus dem Leib	11	18761	keine	0	1	38	8	-2,777777778	2,777777778	6	4,2	4,454545455	4,884848485	5,75	7	miss
24,795	2	24AD_lo34194	6	Er geht kaum noch aus dem Haus	44	24795	keine	0	118	30	7	-1	1	4,090909091	5,181818182	4,583333333	999	999	999	miss
29,829	2	24AD_lo34194	7	Mir fällt ein Stein vom Herzen	33	29829	keine	0	75	30	6	1,777777778	1,777777778	5,125	6,2	2,909090909	4,029881943	5,75	7	miss
32,869	2	24AD_lo34194	8	Bin ich erleichtert?	88	32869	Ja	2524	901	20	3	9	9	9	9	9	9	9	9	correct
37,909	2	24AD_lo34194	9	Er kriegte eine Gänsehaut	22	37909	keine	0	31	25	4	-0,444444444	0,444444444	5,125	6,636363636	5,181818182	4,330756317	4,142857143	7	miss
40,942	2	24AD_lo34194	10	### #### ########	77	40942	keine	0	185	17	3	9	9	9	9	9	9	9	9	miss
43,976	2	24AD_lo34194	11	Sie stinkt vor Faulheit	11	43976	keine	0	4	23	4	-2,222222222	2,222222222	3,75	3,9	4,272727273	3,927592	4,666666667	5,5	miss
48,009	2	24AD_lo34194	12	### #### ##### ######## #### ###	77	48009	keine	0	186	32	6	9	9	9	9	9	9	9	9	miss
51,038	2	24AD_lo34194	13	Ihm ist Übel geworden	44	51038	keine	0	104	21	4	-1,916666667	1,916666667	4,727272727	4,636363636	4,75	999	999	999	miss
58,072	2	24AD_lo34194	14	Er führt Böses im Schilde	11	58072	keine	0	8	25	5	-2,111111111	2,111111111	4	5,545454546	2,363636364	3,920169782	4,222222222	6,4	miss
63,101	2	24AD_lo34194	15	### ####### ##### #######	77	63101	keine	0	234	25	4	9	9	9	9	9	9	9	9	miss
67,141	2	24AD_lo34194	16	Er lässt sein Herz sprechen	33	67141	keine	0	65	27	5	1,444444444	1,444444444	4,125	4	3,090909091	3,875012971	5,333333333	7	miss
73,17	2	24AD_lo34194	17	Sie machen heute ein Picknick am Strand	66	73170	keine	0	177	39	7	2,166666667	2,166666667	4,363636364	4,636363636	5,5	999	999	999	miss
76,204	2	24AD_lo34194	18	Sie ist Überarbeitet	44	76204	keine	0	110	20	3	-1,75	1,75	5,090909091	5,090909091	3	999	999	999	miss
79,237	2	24AD_lo34194	19	Er ist bekannt wie ein bunter Hund	22	79237	keine	0	57	34	7	0,444444444	0,444444444	2,75	5,1	2,888888889	3,59094947	3,714285714	4,75	miss
84,271	2	24AD_lo34194	20	Sie ist nun ruhig	55	84271	keine	0	146	17	4	0,583333333	0,583333333	4	4,636363636	3,5	999	999	999	miss
91,311	2	24AD_lo34194	21	Springt sie wild herum?	88	91311	Nein	1819	902	23	4	9	9	9	9	9	9	9	9	correct
96,347	2	24AD_lo34194	22	## ### #### ###### ### ### ########## ##	77	96347	keine	0	250	40	7	9	9	9	9	9	9	9	9	miss
100,38	2	24AD_lo34194	23	Er nimmt es sich zu Herzen	22	100380	keine	0	34	26	6	-0,222222222	0,222222222	4,875	6,181818182	2,818181818	4,078186904	4,222222222	7	miss
103,409	2	24AD_lo34194	24	Sie ist überglücklich deswegen	66	103409	keine	0	180	30	4	2,666666667	2,666666667	6,454545455	4,818181818	2,416666667	999	999	999	miss
106,443	2	24AD_lo34194	25	### ### ######### ### #####	77	106443	keine	0	249	27	5	9	9	9	9	9	9	9	9	miss
110,476	2	24AD_lo34194	26	Sie ist unfähig	44	110476	keine	0	106	15	3	-1,833333333	1,833333333	5,272727273	4	2,25	999	999	999	miss
114,505	2	24AD_lo34194	27	Sie erzählt was passiert ist	55	114505	keine	0	130	28	5	0	0	3	5,727272727	4,916666667	999	999	999	miss
122,533	2	24AD_lo34194	28	## #### #### #######	77	122533	keine	0	220	20	4	9	9	9	9	9	9	9	9	miss
125,574	2	24AD_lo34194	29	Er redete mit Engelszungen	33	125574	keine	0	61	26	4	1,125	1,125	3,625	3,6	4,090909091	3,771969697	4,625	4,75	miss
129,608	2	24AD_lo34194	30	##### ##### ## ####### #### ########## ### ########	77	129608	keine	0	230	51	8	9	9	9	9	9	9	9	9	miss
132,635	2	24AD_lo34194	31	## ##### ## #### ### #####	77	132635	keine	0	228	26	6	9	9	9	9	9	9	9	9	miss
138,67	2	24AD_lo34194	32	Er grinst wie ein Honigkuchenpferd	33	138670	keine	0	73	34	5	1,666666667	1,666666667	3,875	4,545454546	4,545454546	4,048617879	3	7	miss
142,703	2	24AD_lo34194	33	Sie lag erschöpft im Bett	44	142703	keine	0	119	25	5	-0,833333333	0,833333333	4,636363636	5,454545455	5	999	999	999	miss
146,733	2	24AD_lo34194	34	Sie macht ihr die Hölle hei§	11	146733	keine	0	27	28	6	-1,666666667	1,666666667	5,125	5,272727273	3,909090909	4,086060651	5,111111111	7	miss
152,761	2	24AD_lo34194	35	Er grinst Über beide Ohren	33	152761	keine	0	85	26	5	2,142857143	2,142857143	5	5,333333333	4,818181818	5,050505051	6,222222222	7	miss
160,796	2	24AD_lo34194	36	#### ##### ##### ### ########	77	160796	keine	0	235	29	5	9	9	9	9	9	9	9	9	miss
163,835	2	24AD_lo34194	37	Hast du soeben einen Satz gelesen?	88	163835	keine	0	903	34	6	9	9	9	9	9	9	9	9	miss
168,876	2	24AD_lo34194	38	#### ### ##### #### ####	77	168876	keine	0	231	24	5	9	9	9	9	9	9	9	9	miss
171,91	2	24AD_lo34194	39	Sie macht sich Sorgen um ihre Zukunft	44	171910	keine	0	101	37	7	-2,083333333	2,083333333	5,454545455	5,363636364	2,75	999	999	999	miss
177,927	2	24AD_lo34194	40	Er freundet sich mit ihm an	66	177927	keine	0	165	27	6	1,666666667	1,666666667	4,272727273	4,909090909	3,583333333	999	999	999	miss
181,961	2	24AD_lo34194	41	### ##### ##### ## ### ###### ####	77	181961	keine	0	209	34	7	9	9	9	9	9	9	9	9	miss
184,99	2	24AD_lo34194	42	Er kann das nicht mehr leiden	44	184990	keine	0	115	29	6	-1,25	1,25	4,6	4,454545455	2,416666667	999	999	999	miss
