onset	duration	Experiment - R3AVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,622	2	09NR_4112	1	Er bekam sein Fett weg	99	1622	keine	0	275	22	5	9	9	9	9	9	9	9	9	miss
4,656	2	09NR_4112	2	Sie ist sehr konzentriert	99	4656	keine	0	276	25	4	9	9	9	9	9	9	9	9	miss
7,69	2	09NR_4112	3	Sie wird dafŸr hart bestraft	44	7690	keine	0	94	28	5	-2,5	2,5	5,727272727	3,545454546	3,583333333	999	999	999	miss
12,724	2	09NR_4112	4	## ##### ### #####	77	12724	keine	0	198	18	4	9	9	9	9	9	9	9	9	miss
18,764	2	09NR_4112	5	Das war eine schwierige Entscheidung	44	18764	keine	0	120	36	5	-0,363636364	0,363636364	5	5,909090909	2,166666667	999	999	999	miss
24,798	2	09NR_4112	6	Sie hat einen Geistesblitz	33	24798	keine	0	74	26	4	1,777777778	1,777777778	3,875	5,7	3,454545455	3,908511154	3,875	6,8	miss
29,832	2	09NR_4112	7	Alles ist in Ordnung	66	29832	keine	0	155	20	4	1,25	1,25	3,727272727	5,454545455	1,916666667	999	999	999	miss
32,872	2	09NR_4112	8	Er feuerte ihn	11	32872	keine	0	10	14	3	-2,111111111	2,111111111	4,875	6,636363636	3,555555556	4,003443973	2,75	5,8	miss
35,906	2	09NR_4112	9	Er wird den ganzen Tag in der Schule geŠrgert	44	35906	keine	0	92	45	9	-2,583333333	2,583333333	4,818181818	3,727272727	3,916666667	999	999	999	miss
38,94	2	09NR_4112	10	Er lŠsst kein gutes Haar daran	11	38940	keine	0	26	30	6	-1,75	1,75	3,625	5,222222222	2	3,634250914	3,888888889	7	miss
41,974	2	09NR_4112	11	Ist seine Kritik negativ?	88	41974	Ja	1982	909	25	4	9	9	9	9	9	9	9	9	correct
48,012	2	09NR_4112	12	Er fŸhlt sich nicht wohl	44	48012	keine	0	107	24	5	-1,833333333	1,833333333	4,727272727	5,181818182	2,75	999	999	999	miss
51,042	2	09NR_4112	13	## ### #### ###### ### ### ### ####### ########	77	51042	keine	0	216	47	9	9	9	9	9	9	9	9	9	miss
58,075	2	09NR_4112	14	Sie verbrachten ein entspanntes Wochenende	66	58075	keine	0	172	42	5	1,916666667	1,916666667	4,909090909	5,636363636	3,333333333	999	999	999	miss
63,105	2	09NR_4112	15	Er ist auf seinen Sohn sehr stolz	66	63105	keine	0	163	33	7	1,666666667	1,666666667	5,545454546	3,727272727	3,416666667	999	999	999	miss
67,145	2	09NR_4112	16	Sie versteht was er meint	55	67145	keine	0	149	25	5	0,666666667	0,666666667	3,454545455	5,545454546	3,25	999	999	999	miss
73,173	2	09NR_4112	17	Er hat seine Gelegenheit leider verpasst	44	73173	keine	0	114	40	6	-1,416666667	1,416666667	4,727272727	3,545454546	2,416666667	999	999	999	miss
76,207	2	09NR_4112	18	Er ist ein Waschlappen	11	76207	keine	0	21	22	4	-1,888888889	1,888888889	3,625	4,545454546	2,3	3,782453788	2,444444444	5,8	miss
79,24	2	09NR_4112	19	Sie wŠgt ihre Worte ab	22	79240	keine	0	43	22	5	0	0	1,875	5,272727273	2,818181818	3,743860744	5,428571429	7	miss
84,276	2	09NR_4112	20	### ####### #### ### ######	77	84276	keine	0	211	27	5	9	9	9	9	9	9	9	9	miss
91,316	2	09NR_4112	21	### ##### ##### ### ### ## ######	77	91316	keine	0	219	33	7	9	9	9	9	9	9	9	9	miss
94,344	2	09NR_4112	22	Er ist total zufrieden mit sich	66	94344	keine	0	179	31	6	2,583333333	2,583333333	5,545454546	4,818181818	2,833333333	999	999	999	miss
98,379	2	09NR_4112	23	Er dreht das Rad der Zeit zurŸck	22	98379	keine	0	44	32	7	0	0	3,625	4	1,909090909	3,570017449	5,111111111	7	miss
101,407	2	09NR_4112	24	Sie lŠsst die Seele baumeln	33	101407	keine	0	70	27	5	1,666666667	1,666666667	3,625	5,727272727	3,181818182	4,0092095	3,625	7	miss
104,441	2	09NR_4112	25	Er kontrolliert gerade den Ablauf	55	104441	keine	0	123	33	5	-0,25	0,25	3,5	4,090909091	3,090909091	999	999	999	miss
108,474	2	09NR_4112	26	## ### ##### ######## ##### #########	77	108474	keine	0	246	37	6	9	9	9	9	9	9	9	9	miss
112,503	2	09NR_4112	27	### ### #### ##### ####	77	112503	keine	0	196	23	5	9	9	9	9	9	9	9	9	miss
120,532	2	09NR_4112	28	Sie verpasste ihm einen Denkzettel	11	120532	keine	0	29	34	5	-1,555555556	1,555555556	4,375	5,272727273	2,272727273	3,885302287	5	6	miss
123,572	2	09NR_4112	29	Sie bekommt einen Auftrag	55	123572	keine	0	140	25	4	0,25	0,25	4	4,363636364	3,5	999	999	999	miss
127,606	2	09NR_4112	30	### ####### #### ######## ## ###	77	127606	keine	0	266	32	6	9	9	9	9	9	9	9	9	miss
130,634	2	09NR_4112	31	Es steht noch in den Sternen	22	130634	keine	0	52	28	6	0,25	0,25	2,375	4,818181818	2,090909091	3,644557397	3,5	6,571428571	miss
136,669	2	09NR_4112	32	Er lŠsst sich deswegen keine grauen Haare wachsen	22	136669	keine	0	54	49	8	0,333333333	0,333333333	2,5	3,8	3,636363636	3,711672241	3,571428571	6,8	miss
140,702	2	09NR_4112	33	####### ### ###### ######### ##### ####	77	140702	keine	0	183	39	6	9	9	9	9	9	9	9	9	miss
144,731	2	09NR_4112	34	Er ist dumm wie Brot	11	144731	keine	0	3	20	5	-2,222222222	2,222222222	4,25	6,1	1,818181818	3,81565291	4,222222222	7	miss
150,76	2	09NR_4112	35	Ist er ein schlauer Typ?	88	150760	Nein	1777	910	24	4	9	9	9	9	9	9	9	9	correct
160,8	2	09NR_4112	36	Sie fŸhlt sich gesund und aktiv	66	160800	keine	0	170	31	6	1,916666667	1,916666667	4,818181818	4,363636364	4,416666667	999	999	999	miss
163,839	2	09NR_4112	37	Er verliert seine Arbeit	44	163839	keine	0	97	24	4	-2,333333333	2,333333333	5,454545455	4,272727273	3,416666667	999	999	999	miss
166,874	2	09NR_4112	38	Sie ist in der BlŸte ihrer Jahre	33	166874	keine	0	69	32	7	1,666666667	1,666666667	3,5	4,7	2,545454546	3,864187118	5,444444444	6,625	miss
169,908	2	09NR_4112	39	Es geht um tŠgliche Aufgaben	55	169908	keine	0	129	28	5	0	0	2,818181818	4,545454546	2,333333333	999	999	999	miss
175,942	2	09NR_4112	40	Sie Šrgert sich Ÿber ihren Vorgesetzten	44	175942	keine	0	109	39	6	-1,75	1,75	5	4	4,416666667	999	999	999	miss
179,975	2	09NR_4112	41	Sie ist sehr unaufrichtig	44	179975	keine	0	105	25	4	-1,916666667	1,916666667	4,909090909	2,909090909	2,5	999	999	999	miss
183,005	2	09NR_4112	42	Sie ist nur noch Haut und Knochen	11	183005	keine	0	12	33	7	-2	2	3,625	5,545454546	4	4,077898397	5,666666667	7	miss
186,039	2	09NR_4112	43	#### ##### #### #####	77	186039	keine	0	184	21	4	9	9	9	9	9	9	9	9	miss
190,072	2	09NR_4112	44	Sie genie§t ihre Freizeit	66	190072	keine	0	164	25	4	1,666666667	1,666666667	5,090909091	5,909090909	2,916666667	999	999	999	miss
196,101	2	09NR_4112	45	## #### ##### ##########	77	196101	keine	0	221	24	4	9	9	9	9	9	9	9	9	miss
199,136	2	09NR_4112	46	### ### ##### #########	77	199136	keine	0	227	23	4	9	9	9	9	9	9	9	9	miss
203,169	2	09NR_4112	47	## ### ####### #######	77	203169	keine	0	242	22	4	9	9	9	9	9	9	9	9	miss
207,198	2	09NR_4112	48	### ### #### ### ###### ## ####	77	207198	keine	0	199	31	7	9	9	9	9	9	9	9	9	miss
210,226	2	09NR_4112	49	Er schwebt auf Wolke sieben	33	210226	keine	0	90	27	5	2,777777778	2,777777778	5	5,2	2,636363636	3,963158968	4,25	7	miss
218,26	2	09NR_4112	50	Er ist bis Ÿber beide Ohren verliebt	33	218260	keine	0	88	36	7	2,555555556	2,555555556	5,5	6	2,727272727	4,021927447	4,125	7	miss
222,301	2	09NR_4112	51	Sie macht einen Vorschlag	55	222301	keine	0	122	25	4	-0,25	0,25	3,090909091	5,181818182	3,909090909	999	999	999	miss
226,329	2	09NR_4112	52	Sie schaffen das ganz gut	66	226329	keine	0	151	25	5	1,083333333	1,083333333	4,363636364	5,454545455	2,333333333	999	999	999	miss
234,358	2	09NR_4112	53	## ### ####### ##### ######	77	234358	keine	0	265	27	5	9	9	9	9	9	9	9	9	miss
237,398	2	09NR_4112	54	Es ist gehŸpft wie gesprungen	22	237398	keine	0	42	29	5	0	0	2,625	5,111111111	2,111111111	3,451564843	4,5	5	miss
244,431	2	09NR_4112	55	### ####### #### ###	77	244431	keine	0	192	20	4	9	9	9	9	9	9	9	9	miss
247,461	2	09NR_4112	56	Hast du soeben viele Rautezeichen gesehen?	88	247461	Ja	2129	911	42	6	9	9	9	9	9	9	9	9	correct
253,501	2	09NR_4112	57	Alles lŠuft wie immer	55	253501	keine	0	138	21	4	0,166666667	0,166666667	3,4	5	1,75	999	999	999	miss
257,529	2	09NR_4112	58	Er ist darauf neutral	55	257529	keine	0	133	21	4	0,090909091	0,090909091	2,5	3,1	2	999	999	999	miss
260,558	2	09NR_4112	59	Ist er dagegen?	88	260558	Nein	1447	912	15	3	9	9	9	9	9	9	9	9	correct
265,598	2	09NR_4112	60	## ##### ### ##### ### #######	77	265598	keine	0	223	30	6	9	9	9	9	9	9	9	9	miss
270,631	2	09NR_4112	61	Er steht im Zenit seines Lebens	33	270631	keine	0	71	31	6	1,666666667	1,666666667	3,625	3	2,727272727	3,675413869	4,875	5,5	miss
273,671	2	09NR_4112	62	### ###### #######	77	273671	keine	0	215	18	3	9	9	9	9	9	9	9	9	miss
276,705	2	09NR_4112	63	### ### #### ### #####	77	276705	keine	0	214	22	5	9	9	9	9	9	9	9	9	miss
