onset	duration	Experiment - R3AVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
280,739	2	09NR_4112	64	Sie veranstalten eine Party fŸr ihn	66	280739	keine	0	159	35	6	1,5	1,5	4,181818182	4,545454546	4,833333333	999	999	999	miss
285,768	2	09NR_4112	65	Er kommt Ÿber die Runden	22	285768	keine	0	39	24	5	-0,111111111	0,111111111	2,25	5,7	1,333333333	3,314000988	3,375	7	miss
289,807	2	09NR_4112	66	Er ist Feuer und Flamme	33	289807	keine	0	82	23	5	2,111111111	2,111111111	4,285714286	5,7	3,272727273	3,844404201	3,125	7	miss
296,836	2	09NR_4112	67	Sie schert sich zum Teufel	11	296836	keine	0	5	26	5	-2,222222222	2,222222222	4,625	4,818181818	2,3	3,823033539	3,888888889	7	miss
300,865	2	09NR_4112	68	Er ist daran verzweifelt	44	300865	keine	0	91	24	4	-2,666666667	2,666666667	5,545454546	5,636363636	1,916666667	999	999	999	miss
303,894	2	09NR_4112	69	## ### ######### #####	77	303894	keine	0	204	22	4	9	9	9	9	9	9	9	9	miss
308,927	2	09NR_4112	70	### #### ### ##### ######## ##	77	308927	keine	0	253	30	6	9	9	9	9	9	9	9	9	miss
312,967	2	09NR_4112	71	### #### #### #########	77	312967	keine	0	181	23	4	9	9	9	9	9	9	9	9	miss
316,995	2	09NR_4112	72	Sie baut Luftschlšsser	22	316995	keine	0	37	22	3	-0,125	0,125	3,75	4,1	2,181818182	3,684456299	5,375	7	miss
320,024	2	09NR_4112	73	Das ist beruhigend	66	320024	keine	0	157	18	3	1,333333333	1,333333333	4,363636364	5,636363636	3,083333333	999	999	999	miss
324,058	2	09NR_4112	74	Wird man davon nervšs?	88	324058	Nein	1579	913	22	4	9	9	9	9	9	9	9	9	correct
330,093	2	09NR_4112	75	Sie kommt auf einen Sprung herein	22	330093	keine	0	53	33	6	0,25	0,25	2,375	4,9	3,545454546	3,789847865	3,25	7	miss
335,121	2	09NR_4112	76	#### #### ###### ##### ####	77	335121	keine	0	182	27	5	9	9	9	9	9	9	9	9	miss
342,161	2	09NR_4112	77	Wurde dir soeben ein Satz prŠsentiert?	88	342161	Nein	1957	914	38	6	9	9	9	9	9	9	9	9	correct
349,196	2	09NR_4112	78	Sie strukturiert ihre Arbeit	55	349196	keine	0	150	28	4	0,833333333	0,833333333	2,909090909	4,636363636	4	999	999	999	miss
352,236	2	09NR_4112	79	Sie haben einen Bericht geschrieben	55	352236	keine	0	132	35	5	0,083333333	0,083333333	2,909090909	5,090909091	4,583333333	999	999	999	miss
355,27	2	09NR_4112	80	Sie ist unsterblich verliebt	33	355270	keine	0	78	28	4	1,888888889	1,888888889	5	6,1	2,363636364	3,974284916	5,111111111	6,625	miss
358,304	2	09NR_4112	81	Empfindet sie gro§e Zuneigung?	88	358304	Ja	1751	915	30	4	9	9	9	9	9	9	9	9	correct
364,343	2	09NR_4112	82	Er betrachtet es genau	55	364343	keine	0	135	22	4	0,166666667	0,166666667	3,3	4,909090909	5,636363636	999	999	999	miss
370,371	2	09NR_4112	83	#### #### ##### ##########	77	370371	keine	0	255	26	4	9	9	9	9	9	9	9	9	miss
374,406	2	09NR_4112	84	### ##### ### ##### ####	77	374406	keine	0	195	24	5	9	9	9	9	9	9	9	9	miss
381,435	2	09NR_4112	85	### ### ## ### ##### ###### #####	77	381435	keine	0	224	33	7	9	9	9	9	9	9	9	9	miss
389,464	2	09NR_4112	86	## ### ### ### ### ### ####### ##	77	389464	keine	0	217	33	8	9	9	9	9	9	9	9	9	miss
392,503	2	09NR_4112	87	Er hintergeht sie	44	392503	keine	0	98	17	3	-2,25	2,25	5,272727273	4,636363636	3,166666667	999	999	999	miss
395,538	2	09NR_4112	88	Wird sie betrogen?	88	395538	Ja	1799	916	18	3	9	9	9	9	9	9	9	9	correct
401,578	2	09NR_4112	89	Sie sŠuft wie ein Loch	11	401578	keine	0	24	22	5	-1,777777778	1,777777778	4	5	4	3,890047159	4,75	7	miss
406,606	2	09NR_4112	90	### ###### ##### ######## #########	77	406606	keine	0	263	35	5	9	9	9	9	9	9	9	9	miss
412,646	2	09NR_4112	91	Sie lassen Gras Ÿber die Sache wachsen	22	412646	keine	0	45	38	7	0	0	2,75	4,909090909	2,454545455	3,805733947	4,5	7	miss
416,681	2	09NR_4112	92	Er genie§t die Gesellschaft	66	416681	keine	0	176	27	4	2	2	5	5,181818182	3,333333333	999	999	999	miss
424,709	2	09NR_4112	93	Sie ist die Ehrlichkeit in Person	33	424709	keine	0	83	33	6	2,111111111	2,111111111	3,375	5	2,272727273	3,861333287	5,875	7	miss
427,75	2	09NR_4112	94	## ### ###### ######	77	427750	keine	0	208	20	4	9	9	9	9	9	9	9	9	miss
432,784	2	09NR_4112	95	Er hat es faustdick hinter den Ohren	22	432784	keine	0	40	36	7	-0,111111111	0,111111111	3,428571429	5,454545455	2	3,673057713	2,777777778	7	miss
436,823	2	09NR_4112	96	Sie gehen vor die Hunde	11	436823	keine	0	9	23	5	-2,111111111	2,111111111	2,125	4,636363636	3	3,811924834	2,875	5,5	miss
440,852	2	09NR_4112	97	Sie geht an die Decke	11	440852	keine	0	23	21	5	-1,777777778	1,777777778	5,25	5,8	2,9	3,877562694	3,375	7	miss
443,88	2	09NR_4112	98	## ### ### ### #########	77	443880	keine	0	205	24	5	9	9	9	9	9	9	9	9	miss
449,914	2	09NR_4112	99	Sie lacht aus vollem Hals	33	449914	keine	0	67	25	5	1,555555556	1,555555556	5,25	4,1	4,727272727	4,005689941	4,555555556	6,142857143	miss
453,949	2	09NR_4112	100	## ######## ##### #####	77	453949	keine	0	264	23	4	9	9	9	9	9	9	9	9	miss
