onset	duration	Experiment - R2BVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
58,089	2	18MT_4143	14	Sie ist davon verwirrt	44	58089	keine	0	116	22	4	-1,166666667	1,166666667	4,363636364	5,545454546	2,666666667	999	999	999	miss
63,118	2	18MT_4143	15	Er gewinnt neues Selbstvertrauen	66	63118	keine	0	169	32	4	1,833333333	1,833333333	5,272727273	4,363636364	2,583333333	999	999	999	miss
67,158	2	18MT_4143	16	##### ##### ##### ##### #### ####	77	67158	keine	0	189	33	6	9	9	9	9	9	9	9	9	miss
73,187	2	18MT_4143	17	Sie Šrgert sich Ÿber ihren Vorgesetzten	44	73187	keine	0	109	39	6	-1,75	1,75	5	4	4,416666667	999	999	999	miss
76,221	2	18MT_4143	18	€rgert sie sich Ÿber ihre Schwester?	88	76221	Nein	2103	918	36	6	9	9	9	9	9	9	9	9	correct
81,261	2	18MT_4143	19	Er kommt Ÿber die Runden	22	81261	keine	0	39	24	5	-0,111111111	0,111111111	2,25	5,7	1,333333333	3,314000988	3,375	7	miss
86,294	2	18MT_4143	20	Sie redet Klartext	22	86294	keine	0	58	18	3	0,444444444	0,444444444	4,25	6,1	4,818181818	4,1943856	5,666666667	7	miss
93,334	2	18MT_4143	21	### ### #########	77	93334	keine	0	247	17	3	9	9	9	9	9	9	9	9	miss
96,364	2	18MT_4143	22	### ###### ##### ######## #########	77	96364	keine	0	263	35	5	9	9	9	9	9	9	9	9	miss
100,397	2	18MT_4143	23	Sie baut Luftschlšsser	22	100397	keine	0	37	22	3	-0,125	0,125	3,75	4,1	2,181818182	3,684456299	5,375	7	miss
103,425	2	18MT_4143	24	Er ist bis Ÿber beide Ohren verliebt	33	103425	keine	0	88	36	7	2,555555556	2,555555556	5,5	6	2,727272727	4,021927447	4,125	7	miss
106,459	2	18MT_4143	25	Er ist krank geworden	44	106459	keine	0	93	21	4	-2,583333333	2,583333333	4,272727273	4,909090909	4,166666667	999	999	999	miss
110,493	2	18MT_4143	26	Alles ist in Ordnung	66	110493	keine	0	155	20	4	1,25	1,25	3,727272727	5,454545455	1,916666667	999	999	999	miss
114,522	2	18MT_4143	27	Er spaziert durch die Sonne	66	114522	keine	0	153	27	5	1,166666667	1,166666667	3,909090909	4,727272727	5,333333333	999	999	999	miss
122,551	2	18MT_4143	28	Sie steckt bis Ÿber die Ohren in Schulden	11	122551	keine	0	14	41	8	-2	2	4	4,6	2,454545455	3,812915363	6,125	7	miss
125,591	2	18MT_4143	29	### #### ########	77	125591	keine	0	185	17	3	9	9	9	9	9	9	9	9	miss
129,625	2	18MT_4143	30	Sie lacht aus vollem Hals	33	129625	keine	0	67	25	5	1,555555556	1,555555556	5,25	4,1	4,727272727	4,005689941	4,555555556	6,142857143	miss
132,653	2	18MT_4143	31	## ### ######### #####	77	132653	keine	0	204	22	4	9	9	9	9	9	9	9	9	miss
138,688	2	18MT_4143	32	Er leidet sehr unter die Kritik seines Chefs	44	138688	keine	0	100	44	8	-2,083333333	2,083333333	5,727272727	3,636363636	3,833333333	999	999	999	miss
142,722	2	18MT_4143	33	Wurde er von seinem Chef kritisiert?	88	142722	Ja	2143	919	36	6	9	9	9	9	9	9	9	9	correct
148,756	2	18MT_4143	34	#### ### ##### #### ####	77	148756	keine	0	231	24	5	9	9	9	9	9	9	9	9	miss
154,782	2	18MT_4143	35	## ### ### ### #########	77	154782	keine	0	205	24	5	9	9	9	9	9	9	9	9	miss
162,819	2	18MT_4143	36	### ### ######### ### #####	77	162819	keine	0	249	27	5	9	9	9	9	9	9	9	9	miss
165,859	2	18MT_4143	37	Das hat viele Vorteile	66	165859	keine	0	152	22	4	1,083333333	1,083333333	3,818181818	5,545454546	1,75	999	999	999	miss
168,893	2	18MT_4143	38	Hat es positive Aspekte?	88	168893	Ja	2242	920	24	4	9	9	9	9	9	9	9	9	correct
173,933	2	18MT_4143	39	Er lŠsst kein gutes Haar daran	11	173933	keine	0	26	30	6	-1,75	1,75	3,625	5,222222222	2	3,634250914	3,888888889	7	miss
179,966	2	18MT_4143	40	Er platzt vor Neid	11	179966	keine	0	18	18	4	-1,888888889	1,888888889	4,375	5,272727273	3,090909091	3,976193063	5,777777778	6	miss
184,001	2	18MT_4143	41	### ##### #### ##### ####	77	184001	keine	0	243	25	5	9	9	9	9	9	9	9	9	miss
187,03	2	18MT_4143	42	Hast du soeben mehrere Kreise gesehen?	88	187030	Nein	2397	921	38	6	9	9	9	9	9	9	9	9	correct
192,07	2	18MT_4143	43	Er kriegte eine GŠnsehaut	22	192070	keine	0	31	25	4	-0,444444444	0,444444444	5,125	6,636363636	5,181818182	4,330756317	4,142857143	7	miss
196,104	2	18MT_4143	44	Haben sich seine KšrperhŠrchen aufgerichtet?	88	196104	Ja	1864	922	44	5	9	9	9	9	9	9	9	9	correct
204,137	2	18MT_4143	45	Sie plant eine Zugfahrt	55	204137	keine	0	148	23	4	0,666666667	0,666666667	2,8	3,909090909	4,083333333	999	999	999	miss
207,173	2	18MT_4143	46	### ####### ##### #######	77	207173	keine	0	234	25	4	9	9	9	9	9	9	9	9	miss
211,206	2	18MT_4143	47	Sie fŸhlt sich sorglos	66	211206	keine	0	158	22	4	1,416666667	1,416666667	4,454545455	4,636363636	2,083333333	999	999	999	miss
215,235	2	18MT_4143	48	Sie hat lange darunter gelitten	44	215235	keine	0	96	31	5	-2,333333333	2,333333333	5,636363636	5,090909091	2,5	999	999	999	miss
218,264	2	18MT_4143	49	Er erinnert sich an die letzte Woche	55	218264	keine	0	141	36	7	0,272727273	0,272727273	3	4,636363636	2,090909091	999	999	999	miss
226,298	2	18MT_4143	50	Die Beschreibung des Projektes ist jetzt verfŸgbar	55	226298	keine	0	136	50	7	0,166666667	0,166666667	2,4	3,909090909	4,166666667	999	999	999	miss
230,338	2	18MT_4143	51	### ##### #### ##### ##### ## #####	77	230338	keine	0	210	35	7	9	9	9	9	9	9	9	9	miss
234,366	2	18MT_4143	52	Das ist beruhigend	66	234366	keine	0	157	18	3	1,333333333	1,333333333	4,363636364	5,636363636	3,083333333	999	999	999	miss
242,396	2	18MT_4143	53	### ####### #### ### ### ######## ### #########	77	242396	keine	0	206	47	8	9	9	9	9	9	9	9	9	miss
245,435	2	18MT_4143	54	Er hat einen an der Birne	11	245435	keine	0	15	25	6	-1,888888889	1,888888889	3	4,222222222	2,6	3,274074074	2,285714286	5	miss
252,469	2	18MT_4143	55	Er hat seine Gelegenheit leider verpasst	44	252469	keine	0	114	40	6	-1,416666667	1,416666667	4,727272727	3,545454546	2,416666667	999	999	999	miss
255,498	2	18MT_4143	56	Er kontrolliert gerade den Ablauf	55	255498	keine	0	123	33	5	-0,25	0,25	3,5	4,090909091	3,090909091	999	999	999	miss
259,531	2	18MT_4143	57	Es wŠchst ihr ans Herz	33	259531	keine	0	72	22	5	1,666666667	1,666666667	4,125	5,909090909	2,909090909	3,992602731	3,777777778	7	miss
263,559	2	18MT_4143	58	### ###### #######	77	263559	keine	0	215	18	3	9	9	9	9	9	9	9	9	miss
266,589	2	18MT_4143	59	Er ist ein alter Hase	22	266589	keine	0	60	21	5	0,444444444	0,444444444	2,142857143	5	2,272727273	3,661113748	2	6	miss
269,623	2	18MT_4143	60	### #### #### #########	77	269623	keine	0	181	23	4	9	9	9	9	9	9	9	9	miss
274,657	2	18MT_4143	61	Er geht kaum noch aus dem Haus	44	274657	keine	0	118	30	7	-1	1	4,090909091	5,181818182	4,583333333	999	999	999	miss
277,697	2	18MT_4143	62	Sie schert sich zum Teufel	11	277697	keine	0	5	26	5	-2,222222222	2,222222222	4,625	4,818181818	2,3	3,823033539	3,888888889	7	miss
280,731	2	18MT_4143	63	Sie beschŠftigt sich mit dem Thema	55	280731	keine	0	142	34	6	0,333333333	0,333333333	3,1	5,727272727	2,666666667	999	999	999	miss
284,764	2	18MT_4143	64	### ### #### ### ###### ## ####	77	284764	keine	0	199	31	7	9	9	9	9	9	9	9	9	miss
289,793	2	18MT_4143	65	### #### ### ##### ######## ##	77	289793	keine	0	253	30	6	9	9	9	9	9	9	9	9	miss
293,833	2	18MT_4143	66	### ##### ##### ### ### ## ######	77	293833	keine	0	219	33	7	9	9	9	9	9	9	9	9	miss
300,861	2	18MT_4143	67	Es war ein ganz normaler Tag	55	300861	keine	0	125	28	6	-0,083333333	0,083333333	2,9	5,4	1,75	999	999	999	miss
304,89	2	18MT_4143	68	Er ist bekannt wie ein bunter Hund	22	304890	keine	0	57	34	7	0,444444444	0,444444444	2,75	5,1	2,888888889	3,59094947	3,714285714	4,75	miss
307,919	2	18MT_4143	69	Er hegt einen Traum	33	307919	keine	0	77	19	4	1,888888889	1,888888889	3,75	4,090909091	2,545454546	3,856068786	4,625	7	miss
312,952	2	18MT_4143	70	### ### #### ##### ####	77	312952	keine	0	196	23	5	9	9	9	9	9	9	9	9	miss
316,992	2	18MT_4143	71	### ####### #### ##### #### ############	77	316992	keine	0	245	40	6	9	9	9	9	9	9	9	9	miss
321,021	2	18MT_4143	72	### ####### ###### ########### ##	77	321021	keine	0	269	33	5	9	9	9	9	9	9	9	9	miss
324,049	2	18MT_4143	73	Sie verbrachten ein entspanntes Wochenende	66	324049	keine	0	172	42	5	1,916666667	1,916666667	4,909090909	5,636363636	3,333333333	999	999	999	miss
328,083	2	18MT_4143	74	Er ist dumm wie Brot	11	328083	keine	0	3	20	5	-2,222222222	2,222222222	4,25	6,1	1,818181818	3,81565291	4,222222222	7	miss
332,112	2	18MT_4143	75	## ##### ### ### #####	77	332112	keine	0	222	22	5	9	9	9	9	9	9	9	9	miss
337,14	2	18MT_4143	76	Sie hat die Weisheit mit Lšffeln gefressen	22	337140	keine	0	36	42	7	-0,222222222	0,222222222	3,5	5,2	3,090909091	3,947541587	4,625	7	miss
344,18	2	18MT_4143	77	## ####### ##### #####	77	344180	keine	0	212	22	4	9	9	9	9	9	9	9	9	miss
349,209	2	18MT_4143	78	## ####### ## #########	77	349209	keine	0	218	23	4	9	9	9	9	9	9	9	9	miss
352,248	2	18MT_4143	79	#### ###### ######	77	352248	keine	0	190	18	3	9	9	9	9	9	9	9	9	miss
355,282	2	18MT_4143	80	Mir ist es das wert	66	355282	keine	0	154	19	5	1,25	1,25	4,272727273	5,9	1,666666667	999	999	999	miss
358,316	2	18MT_4143	81	Er ist wŸtend auf sie	44	358316	keine	0	103	21	5	-2	2	5,727272727	5,272727273	3,583333333	999	999	999	miss
362,35	2	18MT_4143	82	Er ist darauf neutral	55	362350	keine	0	133	21	4	0,090909091	0,090909091	2,5	3,1	2	999	999	999	miss
368,379	2	18MT_4143	83	Findet er es schlecht?	88	368379	Nein	2222	923	22	4	9	9	9	9	9	9	9	9	correct
374,42	2	18MT_4143	84	### ##### ##### ##### ##### #### ### ##### ######	77	374420	keine	0	207	49	9	9	9	9	9	9	9	9	9	miss
381,448	2	18MT_4143	85	Hast du soeben viele Rautezeichen gesehen?	88	381448	Ja	1919	924	42	6	9	9	9	9	9	9	9	9	correct
391,483	2	18MT_4143	86	Er redete mit Engelszungen	33	391483	keine	0	61	26	4	1,125	1,125	3,625	3,6	4,090909091	3,771969697	4,625	4,75	miss
394,524	2	18MT_4143	87	### ### ########## ##########	77	394524	keine	0	257	29	4	9	9	9	9	9	9	9	9	miss
397,557	2	18MT_4143	88	Er ist Feuer und Flamme	33	397557	keine	0	82	23	5	2,111111111	2,111111111	4,285714286	5,7	3,272727273	3,844404201	3,125	7	miss
401,591	2	18MT_4143	89	## ### ####### ##### ######	77	401591	keine	0	265	27	5	9	9	9	9	9	9	9	9	miss
406,62	2	18MT_4143	90	Sie hat einen Geistesblitz	33	406620	keine	0	74	26	4	1,777777778	1,777777778	3,875	5,7	3,454545455	3,908511154	3,875	6,8	miss
412,659	2	18MT_4143	91	Sie ist unsterblich verliebt	33	412659	keine	0	78	28	4	1,888888889	1,888888889	5	6,1	2,363636364	3,974284916	5,111111111	6,625	miss
416,694	2	18MT_4143	92	Sie legt nicht jedes Wort auf die Goldwaage	22	416694	keine	0	41	43	8	-0,111111111	0,111111111	3,5	5,3	2,1	3,691932371	5,428571429	6,25	miss
424,721	2	18MT_4143	93	Es ist Jacke wie Hose	22	424721	keine	0	46	21	5	0,111111111	0,111111111	5,125	5,4	1,818181818	3,840995304	2,375	6,4	miss
427,763	2	18MT_4143	94	Es geht um tŠgliche Aufgaben	55	427763	keine	0	129	28	5	0	0	2,818181818	4,545454546	2,333333333	999	999	999	miss
432,797	2	18MT_4143	95	Er nimmt es sich zu Herzen	22	432797	keine	0	34	26	6	-0,222222222	0,222222222	4,875	6,181818182	2,818181818	4,078186904	4,222222222	7	miss
436,837	2	18MT_4143	96	Er fŠllt durch die AbschlussprŸfung	44	436837	keine	0	95	35	5	-2,5	2,5	5,454545455	3,454545455	3,833333333	999	999	999	miss
440,865	2	18MT_4143	97	Er fŸhrt Bšses im Schilde	11	440865	keine	0	8	25	5	-2,111111111	2,111111111	4	5,545454546	2,363636364	3,920169782	4,222222222	6,4	miss
443,893	2	18MT_4143	98	Er hintergeht sie	44	443893	keine	0	98	17	3	-2,25	2,25	5,272727273	4,636363636	3,166666667	999	999	999	miss
449,927	2	18MT_4143	99	### #### #### ### ######	77	449927	keine	0	193	24	5	9	9	9	9	9	9	9	9	miss
453,96	2	18MT_4143	100	Sie lŠsst die Seele baumeln	33	453960	keine	0	70	27	5	1,666666667	1,666666667	3,625	5,727272727	3,181818182	4,0092095	3,625	7	miss
