onset	duration	Experiment - R2BVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,635	2	18MT_4143	1	Er bekam sein Fett weg	99	1635	keine	0	275	22	5	9	9	9	9	9	9	9	9	miss
4,669	2	18MT_4143	2	Er mag keine Suppe	99	4669	keine	0	272	18	4	9	9	9	9	9	9	9	9	miss
7,703	2	18MT_4143	3	Er fŸhlt sich entspannt und locker	66	7703	keine	0	162	34	6	1,583333333	1,583333333	4,090909091	4,818181818	3,416666667	999	999	999	miss
12,737	2	18MT_4143	4	Ist er innerlich angespannt?	88	12737	Nein	2242	917	28	4	9	9	9	9	9	9	9	9	correct
20,782	2	18MT_4143	5	Sie macht einen Vorschlag	55	20782	keine	0	122	25	4	-0,25	0,25	3,090909091	5,181818182	3,909090909	999	999	999	miss
26,817	2	18MT_4143	6	#### ##### #### #####	77	26817	keine	0	184	21	4	9	9	9	9	9	9	9	9	miss
31,852	2	18MT_4143	7	Sie reagierte enthusiastisch auf den Vorschlag	66	31852	keine	0	160	46	6	1,5	1,5	5,545454546	3,818181818	3,916666667	999	999	999	miss
34,89	2	18MT_4143	8	Sie ist fit wie ein Turnschuh	33	34890	keine	0	86	29	6	2,333333333	2,333333333	3,375	6,090909091	3,272727273	3,936479301	5,25	6,5	miss
37,925	2	18MT_4143	9	Ihr lŠuft die Galle Ÿber	11	37925	keine	0	13	24	5	-2	2	4,285714286	3,333333333	3,454545455	3,691197691	3,125	3,625	miss
40,959	2	18MT_4143	10	Er bringt sie zur Wei§glut	11	40959	keine	0	16	26	5	-1,888888889	1,888888889	5,75	5,8	2,666666667	3,780924393	3,571428571	7	miss
43,993	2	18MT_4143	11	#### ###### ###### #######	77	43993	keine	0	256	26	4	9	9	9	9	9	9	9	9	miss
48,027	2	18MT_4143	12	Sie bespricht die Angelegenheit mit ihren Kollegen	55	48027	keine	0	126	50	7	0	0	3,181818182	5,181818182	5,363636364	999	999	999	miss
51,055	2	18MT_4143	13	Sie stinkt vor Faulheit	11	51055	keine	0	4	23	4	-2,222222222	2,222222222	3,75	3,9	4,272727273	3,927592	4,666666667	5,5	miss
